"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DDD","3D Systems Corporation","10.6","$1.26B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ddd",
"MMM","3M Company","146.85","$84.53B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","4.78","$205.53M","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/wbai",
"WUBA","58.com Inc.","56.08","$8.39B","2013","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/wuba",
"EGHT","8x8 Inc","20.07","$2.06B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"AHC","A.H. Belo Corporation","2.655","$56.99M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/ahc",
"AOS","A.O Smith Corporation","40.95","$6.68B","n/a","Consumer Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/aos",
"ATEN","A10 Networks, Inc.","6.96","$539.96M","2014","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/aten",
"AIR","AAR Corp.","40.35","$1.41B","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","42.7","$2.85B","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","22.32","$47.61B","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","81.13","$143.47B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","89.18","$131.91B","2012","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abbv",
"ANF","Abercrombie & Fitch Company","14.49","$909.22M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/anf",
"AGD","Aberdeen Global Dynamic Dividend Fund","9.799","$122.97M","2006","n/a","n/a","https://old.nasdaq.com/symbol/agd",
"AWP","Aberdeen Global Premier Properties Fund","6.48","$553.44M","2007","n/a","n/a","https://old.nasdaq.com/symbol/awp",
"ACP","Aberdeen Income Credit Strategies Fund","11.46","$199.77M","2011","n/a","n/a","https://old.nasdaq.com/symbol/acp",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","7.07","$94.78M","1992","n/a","n/a","https://old.nasdaq.com/symbol/jeq",
"AOD","Aberdeen Total Dynamic Dividend Fund","8.54","$900.38M","2007","n/a","n/a","https://old.nasdaq.com/symbol/aod",
"ABM","ABM Industries Incorporated","35.73","$2.39B","n/a","Finance","Diversified Commercial Services","https://old.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","24.69","$2.03B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/akr",
"ACEL","Accel Entertainment, Inc.","12.72","$996.03M","2017","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/acel",
"ACEL.WS","Accel Entertainment, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/acel.ws",
"ACN","Accenture plc","197.1","$125.28B","2001","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/acn",
"ACCO","Acco Brands Corporation","8.41","$815.66M","n/a","Consumer Durables","Publishing","https://old.nasdaq.com/symbol/acco",
"ATV","Acorn International, Inc.","13.9561","$36.02M","2007","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/atv",
"AYI","Acuity Brands, Inc. ","107.35","$4.25B","n/a","Consumer Durables","Building Products","https://old.nasdaq.com/symbol/ayi",
"GOLF","Acushnet Holdings Corp.","27.32","$2.05B","2016","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/golf",
"ADX","Adams Diversified Equity Fund, Inc.","15.48","$1.63B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","13.92","$411.12M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/peo",
"AGRO","Adecoagro S.A.","7.28","$855.29M","2011","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/agro",
"ADNT","Adient plc","25.29","$2.37B","2016","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/adnt",
"ADT","ADT Inc.","6.9","$5.31B","2018","Consumer Services","Diversified Commercial Services","https://old.nasdaq.com/symbol/adt",
"ATGE","Adtalem Global Education Inc.","33.32","$1.76B","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/atge",
"AAP","Advance Auto Parts Inc","137.6","$9.53B","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/aap",
"ADSW","Advanced Disposal Services, Inc.","33.06","$2.97B","2016","Public Utilities","Environmental Services","https://old.nasdaq.com/symbol/adsw",
"WMS","Advanced Drainage Systems, Inc.","45.57","$3.13B","2014","Capital Goods","Containers/Packaging","https://old.nasdaq.com/symbol/wms",
"ASIX","AdvanSix Inc.","14.2","$396.39M","2016","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/asix",
"AVK","Advent Convertible and Income Fund","14.91","$514.77M","2003","n/a","n/a","https://old.nasdaq.com/symbol/avk",
"ACM","AECOM","49.01","$7.77B","2007","Consumer Services","Military/Government/Technical","https://old.nasdaq.com/symbol/acm",
"AEFC","Aegon Funding Company LLC","25.7","n/a","2019","Finance","Life Insurance","https://old.nasdaq.com/symbol/aefc",
"AEB","Aegon NV","24.86","n/a","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeb",
"AEG","Aegon NV","3.69","$7.41B","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeg",
"AER","Aercap Holdings N.V.","54.54","$7.18B","2006","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aer",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","51.14","$4.03B","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/ajrd",
"AMG","Affiliated Managers Group, Inc.","82.33","$4.06B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/amg",
"MGR","Affiliated Managers Group, Inc.","26.7","n/a","2019","Finance","Investment Managers","https://old.nasdaq.com/symbol/mgr",
"AFL","Aflac Incorporated","47.7","$34.46B","n/a","Finance","Accident &Health Insurance","https://old.nasdaq.com/symbol/afl",
"MITT","AG Mortgage Investment Trust, Inc.","15.94","$521.91M","2011","n/a","n/a","https://old.nasdaq.com/symbol/mitt",
"MITT^A","AG Mortgage Investment Trust, Inc.","25.57","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^a",
